MRN No,Order Ref,Receipt Dt,Qty Received,Qty Ordered
GRN-5581,PO-3743,02/07/2025,100,100
GRN-5582,PO-3746,06/12/2025,100,100
GRN-5583,PO-3749,27/05/2026,100,100
GRN-5584,PO-3752,29/06/2026,100,100
GRN-5585,PO-3755,26/06/2026,100,100
GRN-5586,PO-3758,06/02/2026,100,100
GRN-5587,PO-3761,15/06/2025,100,100
GRN-5588,PO-3764,16/06/2025,100,100
GRN-5589,PO-3767,17/07/2026,100,100
GRN-5590,PO-3770,25/08/2025,100,100
GRN-5591,PO-3773,31/07/2025,100,100
GRN-5592,PO-3776,13/08/2025,100,100
GRN-5593,PO-3779,08/09/2025,100,100
GRN-5594,PO-3782,19/09/2025,100,100
GRN-5595,PO-3785,27/06/2025,100,100
GRN-5596,PO-3788,17/09/2025,100,100
GRN-5597,PO-3791,14/09/2025,100,100
GRN-5598,PO-3794,08/04/2026,100,100
GRN-5599,PO-3797,03/03/2026,100,100
GRN-5600,PO-3800,02/11/2025,100,100
GRN-5601,PO-3803,06/04/2025,100,100
GRN-5602,PO-3806,05/06/2026,100,100
GRN-5603,PO-3809,02/05/2026,100,100
GRN-5604,PO-3812,02/09/2025,100,100
GRN-5605,PO-3815,26/05/2026,100,100
GRN-5606,PO-3818,07/01/2026,100,100
GRN-5607,PO-3821,11/06/2026,100,100
GRN-5608,PO-3824,01/05/2026,100,100
GRN-5609,PO-3827,08/03/2026,100,100
GRN-5610,PO-3830,12/03/2026,100,100
GRN-5611,PO-3833,16/04/2026,100,100
GRN-5612,PO-3836,10/01/2026,100,100
GRN-5613,PO-3839,01/07/2025,100,100
GRN-5614,PO-3842,07/01/2026,100,100
GRN-5615,PO-3845,09/06/2026,100,100
GRN-5616,PO-3848,13/02/2026,100,100
GRN-5617,PO-3851,17/11/2025,100,100
GRN-5618,PO-3854,18/01/2026,100,100
GRN-5619,PO-3857,18/05/2026,100,100
GRN-5620,PO-3860,08/06/2026,100,100
GRN-5621,PO-3863,25/11/2025,100,100
GRN-5622,PO-3866,05/05/2026,100,100
GRN-5623,PO-3869,23/12/2025,100,100
GRN-5624,PO-3872,11/04/2025,100,100
GRN-5625,PO-3875,01/01/2026,100,100
GRN-5626,PO-3878,28/04/2026,100,100
GRN-5627,PO-3881,09/08/2026,100,100
GRN-5628,PO-3884,10/08/2025,100,100
GRN-5629,PO-3887,05/04/2026,100,100
GRN-5630,PO-3890,22/12/2025,100,100
GRN-5631,PO-3893,19/05/2026,100,100
GRN-5632,PO-3896,16/12/2025,100,100
GRN-5633,PO-3899,19/11/2025,100,100
GRN-5634,PO-3902,16/05/2026,100,100
GRN-5635,PO-3905,28/02/2026,100,100
GRN-5636,PO-3908,14/03/2025,100,100
GRN-5637,PO-3911,18/07/2025,100,100
GRN-5638,PO-3914,18/02/2025,100,100
GRN-5639,PO-3917,27/11/2025,100,100
GRN-5640,PO-3920,02/12/2025,100,100
GRN-5641,PO-3923,13/08/2025,100,100
GRN-5642,PO-3926,07/07/2025,100,100
GRN-5643,PO-3929,22/01/2026,100,100
GRN-5644,PO-3932,26/04/2025,100,100
GRN-5645,PO-3935,28/04/2026,100,100
GRN-5646,PO-3938,16/11/2025,100,100
GRN-5647,PO-3941,06/04/2026,100,100
GRN-5648,PO-3944,12/06/2026,100,100
GRN-5649,PO-3947,30/07/2025,100,100
GRN-5650,PO-3950,05/04/2025,100,100
GRN-5651,PO-3953,16/07/2025,100,100
GRN-5652,PO-3956,13/01/2026,100,100
GRN-5653,PO-3959,07/12/2025,100,100
GRN-5654,PO-3962,03/12/2025,100,100
GRN-5655,PO-3965,27/01/2026,100,100
GRN-5656,PO-3968,03/06/2026,100,100
GRN-5657,PO-3971,21/11/2025,100,100
GRN-5658,PO-3974,12/05/2025,100,100
GRN-5659,PO-3977,12/09/2025,100,100
GRN-5660,PO-3980,09/07/2026,100,100
GRN-5661,PO-3983,13/06/2025,100,100
GRN-5662,PO-3986,14/09/2025,100,100
GRN-5663,PO-3989,15/02/2026,100,100
GRN-5664,PO-3992,14/03/2025,100,100
GRN-5665,PO-3995,16/06/2026,100,100
GRN-5666,PO-3998,11/05/2025,100,100
GRN-5667,PO-4001,22/04/2025,100,100
GRN-5668,PO-4004,28/02/2025,100,100
GRN-5669,PO-4007,21/05/2025,100,100
GRN-5670,PO-4010,14/07/2025,100,100
GRN-5671,PO-4013,26/07/2025,100,100
GRN-5672,PO-4016,05/11/2025,100,100
GRN-5673,PO-4019,15/11/2025,100,100
GRN-5674,PO-4022,22/07/2026,100,100
GRN-5675,PO-4025,20/04/2026,100,100
GRN-5676,PO-4028,02/04/2025,100,100
GRN-5677,PO-4031,19/04/2025,100,100
GRN-5678,PO-4034,07/05/2026,100,100
GRN-5679,PO-4037,08/03/2026,100,100
GRN-5680,PO-4040,21/11/2025,100,100
GRN-5681,PO-4043,01/03/2026,100,100
GRN-5682,PO-4046,21/07/2025,100,100
GRN-5683,PO-4049,17/04/2026,100,100
GRN-5684,PO-4052,26/05/2026,100,100
GRN-5685,PO-4055,22/01/2026,100,100
GRN-5686,PO-4058,11/06/2025,100,100
GRN-5687,PO-4061,10/06/2025,100,100
GRN-5688,PO-4064,12/07/2026,100,100
GRN-5689,PO-4067,28/03/2025,100,100
GRN-5690,PO-4070,22/02/2026,100,100
GRN-5691,PO-4073,28/06/2026,100,100
GRN-5692,PO-4076,26/03/2025,100,100
GRN-5693,PO-4079,25/10/2025,100,100
GRN-5694,PO-4082,02/06/2026,100,100
GRN-5695,PO-4085,11/08/2025,100,100
GRN-5696,PO-4088,06/02/2026,100,100
GRN-5697,PO-4091,16/02/2026,100,100
GRN-5698,PO-4094,24/07/2026,100,100
GRN-5699,PO-4097,09/08/2026,100,100
GRN-5700,PO-4100,13/03/2026,100,100
GRN-5701,PO-4103,11/02/2026,100,100
GRN-5702,PO-4106,26/03/2026,100,100
GRN-5703,PO-4109,17/08/2026,100,100
GRN-5704,PO-4112,28/05/2025,100,100
GRN-5705,PO-4115,11/04/2025,100,100
GRN-5706,PO-4118,29/04/2025,100,100
GRN-5707,PO-4121,08/08/2026,100,100
GRN-5708,PO-4124,14/07/2026,100,100
GRN-5709,PO-4127,22/07/2025,100,100
GRN-5710,PO-4130,29/04/2025,100,100
GRN-5711,PO-4133,07/07/2025,100,100
GRN-5712,PO-4136,11/06/2025,100,100
GRN-5713,PO-4139,09/05/2025,100,100
GRN-5714,PO-4142,08/07/2026,100,100
GRN-5715,PO-4145,23/10/2025,100,100
GRN-5716,PO-4148,04/03/2026,100,100
GRN-5717,PO-4151,27/04/2025,100,100
GRN-5718,PO-4154,13/06/2026,100,100
GRN-5719,PO-4157,21/03/2025,100,100
GRN-5720,PO-4160,12/01/2026,100,100
GRN-5721,PO-4163,28/05/2025,100,100
GRN-5722,PO-4166,02/02/2026,100,100
GRN-5723,PO-4169,31/07/2025,100,100
GRN-5724,PO-4172,20/05/2025,100,100
GRN-5725,PO-4175,08/12/2025,100,100
GRN-5726,PO-4178,20/03/2025,100,100
GRN-5727,PO-4181,23/05/2026,100,100
GRN-5728,PO-4184,13/04/2026,100,100
GRN-5729,PO-4187,19/11/2025,100,100
GRN-5730,PO-4190,14/05/2026,100,100
GRN-5731,PO-4193,11/06/2026,100,100
GRN-5732,PO-4196,26/09/2025,100,100
GRN-5733,PO-4199,25/07/2026,100,100
GRN-5734,PO-4202,26/05/2026,100,100
GRN-5735,PO-4205,14/04/2025,100,100
GRN-5736,PO-4208,22/02/2026,100,100
GRN-5737,PO-4211,18/03/2026,100,100
GRN-5738,PO-4214,12/04/2025,100,100
GRN-5739,PO-4217,11/09/2025,100,100
GRN-5740,PO-4220,10/04/2025,100,100
GRN-5741,PO-4223,06/04/2026,100,100
GRN-5742,PO-4226,22/09/2025,100,100
GRN-5743,PO-4229,18/08/2025,100,100
GRN-5744,PO-4232,09/01/2026,100,100
GRN-5745,PO-4235,26/03/2025,100,100
GRN-5746,PO-4238,25/06/2025,100,100
GRN-5747,PO-4241,09/04/2025,100,100
GRN-5748,PO-4244,07/07/2026,100,100
GRN-5749,PO-4247,11/07/2025,100,100
GRN-5750,PO-4250,08/04/2025,100,100
GRN-5751,PO-4253,26/08/2025,100,100
GRN-5752,PO-4256,18/04/2025,100,100
GRN-5753,PO-4259,03/07/2026,100,100
GRN-5754,PO-4262,05/12/2025,100,100
GRN-5755,PO-4265,08/03/2026,100,100
GRN-5756,PO-4268,03/04/2026,100,100
GRN-5757,PO-4271,11/12/2025,100,100
GRN-5758,PO-4274,09/01/2026,100,100
GRN-5759,PO-4277,14/12/2025,100,100
GRN-5760,PO-4280,10/04/2026,100,100
GRN-5761,PO-4283,26/05/2026,100,100
GRN-5762,PO-4286,22/05/2026,100,100
GRN-5763,PO-4289,01/12/2025,100,100
GRN-5764,PO-4292,20/04/2025,100,100
GRN-5765,PO-4295,18/02/2026,100,100
GRN-5766,PO-4298,17/04/2025,100,100
GRN-5767,PO-4301,28/04/2026,100,100
GRN-5768,PO-4304,20/11/2025,100,100
GRN-5769,PO-4307,02/08/2026,100,100
GRN-5770,PO-4310,13/11/2025,100,100
GRN-5771,PO-4313,28/06/2026,100,100
GRN-5772,PO-4316,10/05/2025,100,100
GRN-5773,PO-4319,16/06/2025,100,100
GRN-5774,PO-4322,16/10/2025,100,100
GRN-5775,PO-4325,14/01/2026,100,100
GRN-5776,PO-4328,14/02/2026,100,100
GRN-5777,PO-4331,22/10/2025,100,100
GRN-5778,PO-4334,12/08/2026,100,100
GRN-5779,PO-4337,13/08/2025,100,100
GRN-5780,PO-4340,23/04/2026,100,100
GRN-5781,PO-4343,24/08/2025,100,100
GRN-5782,PO-4346,26/03/2025,100,100
GRN-5783,PO-4349,20/06/2026,100,100
GRN-5784,PO-4352,19/12/2025,100,100
GRN-5785,PO-4355,04/05/2026,100,100
GRN-5786,PO-4358,01/03/2026,100,100
GRN-5787,PO-4361,11/03/2026,100,100
GRN-5788,PO-4364,26/05/2026,100,100
GRN-5789,PO-4367,25/02/2026,100,100
GRN-5790,PO-4370,22/07/2026,100,100
GRN-5791,PO-4373,18/08/2025,100,100
GRN-5792,PO-4376,02/12/2025,100,100
GRN-5793,PO-4379,02/08/2025,100,100
GRN-5794,PO-4382,24/10/2025,100,100
GRN-5795,PO-4385,03/09/2025,100,100
GRN-5796,PO-4388,24/03/2025,100,100
GRN-5797,PO-4391,16/08/2025,100,100
GRN-5798,PO-4394,15/05/2026,100,100
GRN-5799,PO-4397,30/08/2025,100,100
GRN-5800,PO-4400,23/01/2026,100,100
GRN-5801,PO-4403,28/07/2026,100,100
GRN-5802,PO-4406,25/10/2025,100,100
GRN-5803,PO-4409,06/10/2025,100,100
GRN-5804,PO-4412,15/06/2025,100,100
GRN-5805,PO-4415,06/04/2026,100,100
GRN-5806,PO-4418,17/05/2026,100,100
GRN-5807,PO-4421,25/05/2026,100,100
GRN-5808,PO-4424,01/05/2025,100,100
GRN-5809,PO-4427,20/04/2025,100,100
GRN-5810,PO-4430,20/02/2026,100,100
GRN-5811,PO-4433,04/01/2026,100,100
GRN-5812,PO-4436,19/07/2026,100,100
GRN-5813,PO-4439,24/03/2025,100,100
GRN-5814,PO-4442,20/05/2026,100,100
GRN-5815,PO-4445,18/11/2025,100,100
GRN-5816,PO-4448,28/06/2025,100,100
GRN-5817,PO-4451,24/07/2025,100,100
GRN-5818,PO-4454,15/02/2026,100,100
GRN-5819,PO-4457,07/01/2026,100,100
GRN-5820,PO-4460,28/06/2026,100,100
GRN-5821,PO-4463,12/08/2026,100,100
GRN-5822,PO-4466,21/12/2025,100,100
GRN-5823,PO-4469,10/05/2025,100,100
GRN-5824,PO-4472,08/07/2026,100,100
GRN-5825,PO-4475,11/01/2026,100,100
GRN-5826,PO-4478,12/06/2026,100,100
GRN-5827,PO-4481,02/12/2025,100,100
GRN-5828,PO-4484,20/09/2025,100,100
GRN-5829,PO-4487,05/02/2026,100,100
GRN-5830,PO-4490,27/01/2026,100,100
GRN-5831,PO-4493,16/03/2025,100,100
GRN-5832,PO-4496,14/03/2025,100,100
GRN-5833,PO-4499,20/07/2025,100,100
GRN-5834,PO-4502,17/03/2025,100,100
GRN-5835,PO-4505,10/07/2026,100,100
GRN-5836,PO-4508,18/10/2025,100,100
GRN-5837,PO-4511,28/08/2025,100,100
GRN-5838,PO-4514,23/07/2026,100,100
GRN-5839,PO-4517,11/05/2026,100,100
GRN-5840,PO-4520,28/02/2026,100,100
GRN-5841,PO-4523,06/06/2025,100,100
GRN-5842,PO-4526,05/08/2025,100,100
GRN-5843,PO-4529,14/04/2025,100,100
GRN-5844,PO-4532,05/04/2025,100,100
GRN-5845,PO-4535,23/02/2026,100,100
GRN-5846,PO-4538,24/06/2026,100,100
GRN-5847,PO-4541,12/07/2026,100,100
GRN-5848,PO-4544,08/12/2025,100,100
GRN-5849,PO-4547,19/06/2026,100,100
GRN-5850,PO-4550,04/07/2026,100,100
GRN-5851,PO-4553,30/01/2026,100,100
GRN-5852,PO-4556,21/10/2025,100,100
GRN-5853,PO-4559,19/12/2025,100,100
GRN-5854,PO-4562,09/10/2025,100,100
GRN-5855,PO-4565,04/08/2025,100,100
GRN-5856,PO-4568,05/04/2025,100,100
GRN-5857,PO-4571,04/06/2026,100,100
GRN-5858,PO-4574,20/10/2025,100,100
GRN-5859,PO-4577,10/06/2025,100,100
GRN-5860,PO-4580,06/08/2026,100,100
GRN-5861,PO-4583,01/12/2025,100,100
GRN-5862,PO-4586,21/04/2026,100,100
GRN-5863,PO-4589,23/04/2025,100,100
GRN-5864,PO-4592,23/06/2025,100,100
GRN-5865,PO-4595,27/05/2025,100,100
GRN-5866,PO-4598,25/03/2026,100,100
GRN-5867,PO-4601,24/03/2025,100,100
GRN-5868,PO-4604,26/06/2025,100,100
GRN-5869,PO-4607,31/03/2026,100,100
GRN-5870,PO-4610,24/10/2025,100,100
GRN-5871,PO-4613,04/09/2025,100,100
GRN-5872,PO-4616,17/11/2025,100,100
GRN-5873,PO-4619,22/04/2026,100,100
GRN-5874,PO-4622,15/10/2025,100,100
GRN-5875,PO-4625,30/07/2026,100,100
GRN-5876,PO-4628,06/04/2025,100,100
GRN-5877,PO-4631,05/12/2025,100,100
GRN-5878,PO-4634,05/09/2025,100,100
GRN-5879,PO-4637,02/08/2026,100,100
GRN-5880,PO-4640,25/08/2025,100,100
GRN-5881,PO-4643,12/07/2025,100,100
GRN-5882,PO-4646,09/05/2025,100,100
GRN-5883,PO-4649,16/05/2025,100,100
GRN-5884,PO-4652,08/07/2025,100,100
GRN-5885,PO-4655,30/03/2025,100,100
GRN-5886,PO-4658,16/06/2025,100,100
GRN-5887,PO-4661,29/03/2026,100,100
GRN-5888,PO-4664,13/03/2026,100,100
GRN-5889,PO-4667,23/06/2025,100,100
GRN-5890,PO-4670,16/04/2026,100,100
GRN-5891,PO-4673,24/03/2025,100,100
GRN-5892,PO-4676,11/07/2025,100,100
GRN-5893,PO-4679,10/09/2025,100,100
GRN-5894,PO-4682,14/07/2026,100,100
GRN-5895,PO-4685,29/04/2025,100,100
GRN-5896,PO-4688,16/01/2026,100,100
GRN-5897,PO-4691,06/09/2025,100,100
GRN-5898,PO-4694,03/10/2025,100,100
GRN-5899,PO-4697,16/12/2025,100,100
GRN-5900,PO-4700,25/02/2025,100,100
GRN-5901,PO-4703,08/04/2026,100,100
GRN-5902,PO-4706,17/04/2026,100,100
GRN-5903,PO-4709,24/04/2026,100,100
GRN-5904,PO-4712,16/04/2026,100,100
GRN-5905,PO-4715,12/01/2026,100,100
GRN-5906,PO-4718,18/01/2026,100,100
GRN-5907,PO-4721,29/01/2026,100,100
GRN-5908,PO-4724,27/01/2026,100,100
GRN-5909,PO-4727,20/01/2026,100,100
GRN-5910,PO-4730,07/07/2026,183,200
GRN-5911,PO-4733,01/04/2025,163,200
GRN-5912,PO-4736,13/03/2026,179,200
GRN-5913,PO-4739,04/07/2026,100,100
GRN-5914,PO-4742,02/09/2025,100,100
GRN-5915,PO-4745,29/08/2026,100,100
