Doc Ref,Particulars,Qty,UOM,Rate,HSN/SAC,Tax %
INV-5786,ADVISORY RETAINER,65,month,148197.68,9982,0.18
INV-5793,Professional retainer compliance,149,month,143735.06,9982,0.18
INV-5800,FTL MDU-MAA,47,trip,21909.1,9965,0.18
INV-5807,CRR-5KG,12,nos,190.06,9968,0.18
INV-5814,DG-PM-VISIT,179,visit,8637.23,9987,0.18
INV-5821,CABLE CU 4SQMM FRLS,58,m,74.62,8544,0.18
INV-5828,HK-KIT,37,nos,1998.45,3402,0.18
INV-5835,B/P PEN BLU,104,nos,5.25,9608,0.18
INV-5842,MS ANGLE 50X50X6,11,kg,58.59,7216,0.18
INV-5849,Pallet wrap 23 micron,110,roll,1213.57,3920,0.18
INV-5856,COURIER <5KG,17,nos,179.94,9968,0.18
INV-5863,Hot rolled coil 2.5,9,kg,56.06,7208,0.18
INV-5870,Hand gloves cotton pair,169,pair,42.83,6116,0.18
INV-5877,Generator servicing call,136,visit,8504.96,9987,0.18
INV-5884,STRETCH FILM 23MIC,190,roll,1202.98,3920,0.18
INV-5891,SWITCH 24P GIG MANAGED,133,nos,27604.37,8517,0.18
INV-5898,HVAC preventive maint,111,visit,14343.1,9987,0.18
INV-5905,TRANSPORT MDU>CHN,148,trip,21175.79,9965,0.18
INV-5912,Industrial safety helmet,66,nos,308.14,6506,0.18
INV-5919,Enamel paint 20 litre,167,nos,4467.29,3208,0.18
INV-5926,ANGLE-MS-50,86,kg,59.89,7216,0.18
INV-5933,Hot rolled coil 2.5,48,kg,54.05,7208,0.18
INV-5940,Panel light LED 36 watt,164,nos,1088.21,9405,0.18
INV-5947,Truck full load Madurai Chennai,69,trip,21719.21,9965,0.18
INV-5954,TRANSPORT MDU>CHN,20,trip,21905.65,9965,0.18
INV-5961,CRR-5KG,146,nos,189.58,9968,0.18
INV-5968,FTL MDU-MAA,37,trip,20771.03,9965,0.18
INV-5975,B/P PEN BLU,30,nos,5.53,9608,0.18
INV-5982,Hand gloves cotton pair,169,pair,42.55,6116,0.18
INV-5989,CU-CBL-4SQMM,119,m,75.21,8544,0.18
INV-5996,Aircon servicing,168,visit,14918.07,9987,0.18
INV-6003,SWITCH 24P GIG MANAGED,100,nos,28034.93,8517,0.18
INV-6010,Screen 24in IPS FHD,6,nos,8943.03,8528,0.18
INV-6017,PAINT ENAMEL 20L,97,nos,4510.66,3208,0.18
INV-6024,LLDPE wrap film,130,roll,1273.23,3920,0.18
INV-6031,Facility upkeep monthly,90,month,86335.65,9985,0.18
INV-6038,Pallet wrap 23 micron,156,roll,1243.95,3920,0.18
INV-6045,Courier docket upto 5 kg,8,nos,184.41,9968,0.18
INV-6052,Pallet wrap 23 micron,91,roll,1267.09,3920,0.18
INV-6059,Copper wire 4 sq.mm FRLS,32,m,71.29,8544,0.18
INV-6066,24-PORT L2 SWITCH,34,nos,27695.1,8517,0.18
INV-6073,CABLE CU 4SQMM FRLS,76,m,72.0,8544,0.18
INV-6080,B/P PEN BLU,34,nos,5.3,9608,0.18
INV-6087,HK CONSUMABLES KIT,145,nos,1990.23,3402,0.18
INV-6094,HELMET SAFETY ISI,67,nos,313.73,6506,0.18
INV-6101,CU-CBL-4SQMM,87,m,74.04,8544,0.18
INV-6108,Screen 24in IPS FHD,19,nos,8962.53,8528,0.18
INV-6115,Facility upkeep monthly,173,month,85842.13,9985,0.18
INV-6122,B/P PEN BLU,194,nos,5.43,9608,0.18
INV-6129,Copper wire 4 sq.mm FRLS,48,m,74.03,8544,0.18
INV-6136,24 port gigabit switch,149,nos,27199.61,8517,0.18
INV-6143,SWITCH 24P GIG MANAGED,137,nos,28185.06,8517,0.18
INV-6150,24 port gigabit switch,168,nos,28110.17,8517,0.18
INV-6157,Housekeeping services plant,79,month,81500.47,9985,0.18
INV-6164,BOX 5-PLY LARGE,50,nos,39.97,4819,0.18
INV-6171,5 ply carton box,45,nos,40.38,4819,0.18
INV-6178,PPE-HELMET,181,nos,316.72,6506,0.18
INV-6185,Housekeeping consumable set,161,nos,1969.16,3402,0.18
INV-6192,Professional retainer compliance,82,month,147496.07,9982,0.18
INV-6199,Copper wire 4 sq.mm FRLS,180,m,73.38,8544,0.18
INV-6206,PPE-HELMET,102,nos,303.39,6506,0.18
INV-6213,MS ANGLE 50X50X6,62,kg,58.27,7216,0.18
INV-6220,HRC-2.5,175,kg,53.38,7208,0.18
INV-6227,Laptop corporate i5/16/512,65,nos,64060.56,8471,0.18
INV-6234,Industrial safety helmet,190,nos,311.06,6506,0.18
INV-6241,TRANSPORT MDU>CHN,164,trip,22009.14,9965,0.18
INV-6248,LED PANEL 36W 2X2,97,nos,1083.88,9405,0.18
INV-6255,CABLE CU 4SQMM FRLS,22,m,75.03,8544,0.18
INV-6262,HK CONSUMABLES KIT,70,nos,1981.15,3402,0.18
INV-6269,MS ANGLE 50X50X6,21,kg,56.92,7216,0.18
INV-6276,MS ANGLE 50X50X6,60,kg,57.21,7216,0.18
INV-6283,PNT-ENML-20,99,nos,4582.93,3208,0.18
INV-6290,AC PM VISIT,104,visit,14785.14,9987,0.18
INV-6297,UPS-1K-LI,119,nos,6901.66,8504,0.18
INV-6304,24 inch LED display 1080p IPS,113,nos,8962.27,8528,0.18
INV-6311,Hot rolled coil 2.5,147,kg,54.55,7208,0.18
INV-6318,Hot rolled coil 2.5,99,kg,54.18,7208,0.18
INV-6325,CORRUGATED BOX 5PLY,45,nos,40.11,4819,0.18
INV-6332,BOX 5-PLY LARGE,129,nos,38.89,4819,0.18
INV-6339,HRC-2.5,87,kg,54.34,7208,0.18
INV-6346,A4 PAPER 75GSM RM,32,ream,188.44,4802,0.18
INV-6353,CU-CBL-4SQMM,129,m,71.96,8544,0.18
INV-6360,CORRUGATED BOX 5PLY,15,nos,38.33,4819,0.18
INV-6367,Mild steel angle 50mm,84,kg,56.81,7216,0.18
INV-6374,LLDPE wrap film,109,roll,1272.22,3920,0.18
INV-6381,PAINT ENAMEL 20L,196,nos,4529.78,3208,0.18
INV-6388,LED PANEL 36W 2X2,120,nos,1113.43,9405,0.18
INV-6395,LIGHT-LED-36W,196,nos,1082.62,9405,0.18
INV-6402,STRETCH FILM 23MIC,15,roll,1271.71,3920,0.18
INV-6409,PAINT ENAMEL 20L,78,nos,4349.99,3208,0.18
INV-6416,Professional retainer compliance,115,month,141821.49,9982,0.18
INV-6423,HELMET SAFETY ISI,149,nos,303.34,6506,0.18
INV-6430,Cartridge toner 12A compatible,17,nos,4174.22,8443,0.18
INV-6437,AC PM VISIT,188,visit,14273.14,9987,0.18
INV-6444,GLOVES COTTON,78,pair,40.9,6116,0.18
INV-6451,Copier paper A-4 (75 gsm) 500sh,194,ream,191.97,4802,0.18
INV-6458,Pallet wrap 23 micron,5,roll,1214.66,3920,0.18
INV-6465,Copier paper A-4 (75 gsm) 500sh,114,ream,193.37,4802,0.18
INV-6472,24 inch LED display 1080p IPS,116,nos,9395.87,8528,0.18
INV-6479,24 port gigabit switch,167,nos,27411.2,8517,0.18
INV-6486,GLOVES COTTON,136,pair,42.15,6116,0.18
INV-6493,24 port gigabit switch,197,nos,27575.55,8517,0.18
INV-6500,5 ply carton box,18,nos,38.86,4819,0.18
INV-6507,HR COIL 2.5MM,27,kg,54.02,7208,0.18
INV-6514,CORRUGATED BOX 5PLY,85,nos,39.25,4819,0.18
INV-6521,CORRUGATED BOX 5PLY,148,nos,39.1,4819,0.18
INV-6528,PEN BALL BLUE 0.7,12,nos,5.39,9608,0.18
INV-6535,TNR-12A,35,nos,4237.92,8443,0.18
INV-6542,CRR-5KG,178,nos,183.86,9968,0.18
INV-6549,ADVISORY RETAINER,195,month,148284.98,9982,0.18
INV-6556,Copier paper A-4 (75 gsm) 500sh,53,ream,197.27,4802,0.18
INV-6563,"Paper, A4, white, 75gsm",143,ream,189.42,4802,0.18
INV-6570,LIGHT-LED-36W,25,nos,1110.6,9405,0.18
INV-6577,UPS 1KVA,39,nos,6719.51,8504,0.18
INV-6584,PPE-GLV-CTN,180,pair,42.96,6116,0.18
INV-6591,Hot rolled coil 2.5,72,kg,56.36,7208,0.18
INV-6598,CABLE CU 4SQMM FRLS,25,m,74.8,8544,0.18
INV-6605,DG-PM-VISIT,141,visit,8497.0,9987,0.18
INV-6612,TRANSPORT MDU>CHN,170,trip,20869.35,9965,0.18
INV-6619,Hot rolled coil 2.5,200,kg,54.22,7208,0.18
INV-6626,UPS-1K-LI,67,nos,6988.5,8504,0.18
INV-6633,Industrial safety helmet,71,nos,310.01,6506,0.18
INV-6640,Uninterruptible power supply 1kva,73,nos,6894.58,8504,0.18
INV-6647,PAINT ENAMEL 20L,67,nos,4477.72,3208,0.18
INV-6654,Housekeeping consumable set,154,nos,1905.61,3402,0.18
INV-6661,LLDPE wrap film,130,roll,1256.99,3920,0.18
INV-6668,"Paper, A4, white, 75gsm",183,ream,191.17,4802,0.18
INV-6675,Industrial safety helmet,137,nos,300.93,6506,0.18
INV-6682,CRR-5KG,157,nos,182.8,9968,0.18
INV-6689,Pallet wrap 23 micron,125,roll,1208.41,3920,0.18
INV-6696,Industrial safety helmet,183,nos,314.79,6506,0.18
INV-6703,HRC-2.5,180,kg,53.49,7208,0.18
INV-6710,Housekeeping services plant,139,month,82955.47,9985,0.18
INV-6717,Hand gloves cotton pair,125,pair,43.07,6116,0.18
INV-6724,Uninterruptible power supply 1kva,99,nos,6727.63,8504,0.18
INV-6731,Laptop corporate i5/16/512,123,nos,62099.38,8471,0.18
INV-6738,Screen 24in IPS FHD,155,nos,9041.32,8528,0.18
INV-6745,HK CONSUMABLES KIT,36,nos,1994.28,3402,0.18
INV-6752,"Paper, A4, white, 75gsm",105,ream,192.02,4802,0.18
INV-6759,Cartridge toner 12A compatible,112,nos,4217.68,8443,0.18
INV-6766,Hot rolled coil 2.5,189,kg,54.11,7208,0.18
INV-6773,UPS-1K-LI,200,nos,6918.28,8504,0.18
INV-6780,LAPTOP i5 16GB 512 SSD,115,nos,62759.12,8471,0.18
INV-6787,24-PORT L2 SWITCH,171,nos,27333.79,8517,0.18
INV-6794,Housekeeping services plant,133,month,84237.78,9985,0.18
INV-6801,PPE-GLV-CTN,32,pair,40.93,6116,0.18
INV-6808,HRC-2.5,169,kg,55.24,7208,0.18
INV-6815,FTL MDU-MAA,26,trip,21471.78,9965,0.18
INV-6822,CU-CBL-4SQMM,129,m,71.24,8544,0.18
INV-6829,TNR-12A,106,nos,4152.6,8443,0.18
INV-6836,A4 PAPER 75GSM RM,45,ream,191.98,4802,0.18
INV-6843,Housekeeping consumable set,14,nos,1902.21,3402,0.18
INV-6850,COURIER <5KG,71,nos,182.75,9968,0.18
INV-6857,PEN BALL BLUE 0.7,20,nos,5.38,9608,0.18
INV-6864,SITE MAINTENANCE MONTHLY,168,month,82274.68,9985,0.18
INV-6871,Aircon servicing,157,visit,14811.21,9987,0.18
INV-6878,5 ply carton box,130,nos,38.69,4819,0.18
INV-6885,TRANSPORT MDU>CHN,109,trip,21548.06,9965,0.18
INV-6892,MS ANGLE 50X50X6,108,kg,58.01,7216,0.18
INV-6899,HVAC preventive maint,12,visit,14583.04,9987,0.18
INV-6906,Blue ball pen,174,nos,5.53,9608,0.18
INV-6913,CORRUGATED BOX 5PLY,133,nos,39.96,4819,0.18
INV-6920,CABLE CU 4SQMM FRLS,72,m,72.79,8544,0.18
INV-6927,CU-CBL-4SQMM,120,m,72.72,8544,0.18
INV-6934,HRC-2.5,142,kg,56.16,7208,0.18
INV-6941,PPE-HELMET,187,nos,313.87,6506,0.18
INV-6948,24 inch LED display 1080p IPS,20,nos,9269.57,8528,0.18
INV-6955,"Paper, A4, white, 75gsm",109,ream,197.5,4802,0.18
INV-6962,CRR-5KG,14,nos,188.72,9968,0.18
INV-6969,Notebook computer intel i5,43,nos,63991.01,8471,0.18
INV-6976,24 port gigabit switch,63,nos,27200.98,8517,0.18
INV-6983,TONER 12A,43,nos,4295.69,8443,0.18
INV-6990,MONITOR 24 FHD IPS,168,nos,9051.24,8528,0.18
INV-6997,Screen 24in IPS FHD,45,nos,9237.63,8528,0.18
INV-7004,ANGLE-MS-50,43,kg,59.89,7216,0.18
INV-7011,MONITOR 24 FHD IPS,15,nos,9194.87,8528,0.18
INV-7018,Courier docket upto 5 kg,12,nos,189.29,9968,0.18
INV-7025,PPE-GLV-CTN,108,pair,42.99,6116,0.18
INV-7032,Aircon servicing,165,visit,14555.22,9987,0.18
INV-7039,UPS 1KVA,130,nos,7097.36,8504,0.18
INV-7046,Panel light LED 36 watt,189,nos,1092.7,9405,0.18
INV-7053,PAINT ENAMEL 20L,198,nos,4471.64,3208,0.18
INV-7060,COURIER <5KG,197,nos,185.62,9968,0.18
INV-7067,"Paper, A4, white, 75gsm",180,ream,193.48,4802,0.18
INV-7074,5 ply carton box,171,nos,38.66,4819,0.18
INV-7081,Industrial safety helmet,136,nos,310.71,6506,0.18
INV-7088,A4 PAPER 75GSM RM,112,ream,189.03,4802,0.18
INV-7095,ANGLE-MS-50,43,kg,57.16,7216,0.18
INV-7102,STRETCH FILM 23MIC,195,roll,1229.52,3920,0.18
INV-7109,FTL MDU-MAA,134,trip,21786.91,9965,0.18
INV-7116,STRETCH FILM 23MIC,96,roll,1232.64,3920,0.18
INV-7123,CABLE CU 4SQMM FRLS,59,m,71.49,8544,0.18
INV-7130,TNR-12A,5,nos,4232.4,8443,0.18
INV-7137,B/P PEN BLU,141,nos,5.56,9608,0.18
INV-7144,MONITOR 24 FHD IPS,50,nos,9043.53,8528,0.18
INV-7151,CU-CBL-4SQMM,14,m,71.24,8544,0.18
INV-7158,Laptop corporate i5/16/512,81,nos,62221.04,8471,0.18
INV-7165,TRANSPORT MDU>CHN,55,trip,21361.71,9965,0.18
INV-7172,CORRUGATED BOX 5PLY,68,nos,40.54,4819,0.18
INV-7179,Courier docket upto 5 kg,119,nos,183.69,9968,0.18
INV-7186,HVAC preventive maint,184,visit,14767.69,9987,0.18
INV-7193,ADVISORY RETAINER,29,month,147502.15,9982,0.18
INV-7200,LLDPE wrap film,143,roll,1224.31,3920,0.18
INV-7207,Hand gloves cotton pair,12,pair,42.1,6116,0.18
INV-7214,SITE MAINTENANCE MONTHLY,123,month,81599.03,9985,0.18
INV-7221,HR COIL 2.5MM,54,kg,53.73,7208,0.18
INV-7228,Copper wire 4 sq.mm FRLS,129,m,72.23,8544,0.18
INV-7235,CORRUGATED BOX 5PLY,120,nos,40.51,4819,0.18
INV-7242,Pallet wrap 23 micron,54,roll,1225.63,3920,0.18
INV-7249,Notebook computer intel i5,88,nos,61206.79,8471,0.18
INV-7256,COMPLIANCE RETAINER MONTHLY,15,month,141680.61,9982,0.18
INV-7263,Cartridge toner 12A compatible,49,nos,4117.55,8443,0.18
INV-7270,Hot rolled coil 2.5,126,kg,55.93,7208,0.18
INV-7277,Mild steel angle 50mm,200,kg,57.14,7216,0.18
INV-7284,PPE-GLV-CTN,83,pair,42.46,6116,0.18
INV-7291,Laptop corporate i5/16/512,184,nos,62893.29,8471,0.18
INV-7298,CABLE CU 4SQMM FRLS,116,m,74.42,8544,0.18
INV-7305,Generator servicing call,192,visit,8350.31,9987,0.18
INV-7312,Housekeeping consumable set,126,nos,1951.41,3402,0.18
INV-7319,Copier paper A-4 (75 gsm) 500sh,158,ream,190.82,4802,0.18
INV-7326,LLDPE wrap film,66,roll,1274.86,3920,0.18
INV-7333,HELMET SAFETY ISI,153,nos,305.99,6506,0.18
INV-7340,PPE-GLV-CTN,78,pair,42.26,6116,0.18
INV-7347,TONER 12A,37,nos,4149.03,8443,0.18
INV-7354,PPE-HELMET,83,nos,301.09,6506,0.18
INV-7361,LLDPE wrap film,26,roll,1224.99,3920,0.18
INV-7368,COMPLIANCE RETAINER MONTHLY,96,month,148127.66,9982,0.18
INV-7375,CRR-5KG,35,nos,190.35,9968,0.18
INV-7382,LAPTOP i5 16GB 512 SSD,181,nos,61475.25,8471,0.18
INV-7389,UPS 1KVA,168,nos,6798.19,8504,0.18
INV-7396,Blue ball pen,144,nos,5.55,9608,0.18
INV-7403,STRETCH FILM 23MIC,27,roll,1215.9,3920,0.18
INV-7410,HK CONSUMABLES KIT,12,nos,1895.27,3402,0.18
INV-7417,PAINT ENAMEL 20L,108,nos,4352.65,3208,0.18
INV-7424,Pallet wrap 23 micron,127,roll,1275.56,3920,0.18
INV-7431,Hand gloves cotton pair,114,pair,42.35,6116,0.18
INV-7438,Industrial safety helmet,35,nos,310.82,6506,0.18
INV-7445,CU-CBL-4SQMM,60,m,72.27,8544,0.18
INV-7452,PPE-GLV-CTN,109,pair,42.95,6116,0.18
INV-7459,Copper wire 4 sq.mm FRLS,91,m,73.67,8544,0.18
INV-7466,Generator servicing call,79,visit,8387.17,9987,0.18
INV-7473,HELMET SAFETY ISI,161,nos,317.95,6506,0.18
INV-7480,24-PORT L2 SWITCH,142,nos,28369.51,8517,0.18
INV-7487,STRETCH FILM 23MIC,103,roll,1268.95,3920,0.18
INV-7494,Blue ball pen,95,nos,5.5,9608,0.18
INV-7501,DG-PM-VISIT,68,visit,8451.6,9987,0.18
INV-7508,CABLE CU 4SQMM FRLS,33,m,74.55,8544,0.18
INV-7515,Copier paper A-4 (75 gsm) 500sh,33,ream,192.99,4802,0.18
INV-7522,Pallet wrap 23 micron,181,roll,1224.1,3920,0.18
INV-7529,HELMET SAFETY ISI,101,nos,315.74,6506,0.18
INV-7536,Facility upkeep monthly,9,month,82645.37,9985,0.18
INV-7543,24-PORT L2 SWITCH,163,nos,27443.85,8517,0.18
INV-7550,MONITOR 24 FHD IPS,111,nos,9237.87,8528,0.18
INV-7557,24 inch LED display 1080p IPS,127,nos,8990.57,8528,0.18
INV-7564,HR COIL 2.5MM,136,kg,54.39,7208,0.18
INV-7571,Laptop corporate i5/16/512,91,nos,61827.23,8471,0.18
INV-7578,Copper wire 4 sq.mm FRLS,45,m,73.37,8544,0.18
INV-7585,HELMET SAFETY ISI,170,nos,314.0,6506,0.18
INV-7592,SITE MAINTENANCE MONTHLY,165,month,82325.06,9985,0.18
INV-7599,PAINT ENAMEL 20L,118,nos,4400.34,3208,0.18
INV-7606,HVAC preventive maint,14,visit,14403.74,9987,0.18
INV-7613,GLOVES COTTON,78,pair,41.12,6116,0.18
INV-7620,TONER 12A,112,nos,4166.01,8443,0.18
INV-7627,Copper wire 4 sq.mm FRLS,47,m,75.01,8544,0.18
INV-7634,24-PORT L2 SWITCH,131,nos,26944.57,8517,0.18
INV-7641,BOX 5-PLY LARGE,62,nos,39.7,4819,0.18
INV-7648,SWITCH 24P GIG MANAGED,96,nos,26973.25,8517,0.18
INV-7655,HK-KIT,103,nos,1966.36,3402,0.18
INV-7662,"Paper, A4, white, 75gsm",60,ream,188.05,4802,0.18
INV-7669,CORRUGATED BOX 5PLY,168,nos,40.57,4819,0.18
INV-7676,Pallet wrap 23 micron,87,roll,1254.64,3920,0.18
INV-7683,LAPTOP i5 16GB 512 SSD,10,nos,62601.21,8471,0.18
INV-7690,CORRUGATED BOX 5PLY,176,nos,38.47,4819,0.18
INV-7697,Laptop corporate i5/16/512,130,nos,62127.42,8471,0.18
INV-7704,LLDPE wrap film,8,roll,1211.75,3920,0.18
INV-7711,Screen 24in IPS FHD,142,nos,9063.1,8528,0.18
INV-7718,AC PM VISIT,168,visit,14593.24,9987,0.18
INV-7725,PEN BALL BLUE 0.7,174,nos,5.36,9608,0.18
INV-7732,Hot rolled coil 2.5,70,kg,53.49,7208,0.18
INV-7739,HRC-2.5,179,kg,55.23,7208,0.18
INV-7746,5 ply carton box,62,nos,39.62,4819,0.18
INV-7753,Copier paper A-4 (75 gsm) 500sh,200,ream,189.43,4802,0.18
INV-7760,Courier docket upto 5 kg,149,nos,187.85,9968,0.18
INV-7767,B/P PEN BLU,18,nos,5.35,9608,0.18
INV-7774,24 inch LED display 1080p IPS,91,nos,9182.36,8528,0.18
INV-7781,PNT-ENML-20,120,nos,4426.7,3208,0.18
INV-7788,Copier paper A-4 (75 gsm) 500sh,199,ream,188.33,4802,0.18
INV-7795,HRC-2.5,195,kg,55.54,7208,0.18
INV-7802,TRANSPORT MDU>CHN,135,trip,21741.44,9965,0.18
INV-7809,CRR-5KG,65,nos,183.37,9968,0.18
INV-7816,UPS-1K-LI,46,nos,6837.99,8504,0.18
INV-7823,CU-CBL-4SQMM,90,m,71.41,8544,0.18
INV-7830,HRC-2.5,7,kg,54.74,7208,0.18
INV-7837,ANGLE-MS-50,132,kg,58.17,7216,0.18
INV-7844,TNR-12A,85,nos,4115.76,8443,0.18
INV-7851,CU-CBL-4SQMM,132,m,72.25,8544,0.18
INV-7858,TNR-12A,151,nos,4136.87,8443,0.18
INV-7865,Hand gloves cotton pair,175,pair,42.72,6116,0.18
INV-7872,DG SET SERVICE VISIT,197,visit,8471.38,9987,0.18
INV-7879,HR COIL 2.5MM,132,kg,55.22,7208,0.18
INV-7886,LLDPE wrap film,143,roll,1270.39,3920,0.18
INV-7893,CU-CBL-4SQMM,180,m,74.06,8544,0.18
INV-7900,24 inch LED display 1080p IPS,143,nos,9101.16,8528,0.18
INV-7907,DG SET SERVICE VISIT,30,visit,8693.03,9987,0.18
INV-7914,Professional retainer compliance,187,month,144556.43,9982,0.18
INV-7921,PPE-GLV-CTN,169,pair,43.14,6116,0.18
INV-7928,Generator servicing call,99,visit,8624.91,9987,0.18
INV-7935,COMPLIANCE RETAINER MONTHLY,99,month,145490.64,9982,0.18
INV-7942,Uninterruptible power supply 1kva,185,nos,6908.14,8504,0.18
INV-7949,PEN BALL BLUE 0.7,113,nos,5.27,9608,0.18
INV-7956,Truck full load Madurai Chennai,79,trip,21969.53,9965,0.18
INV-7963,HR COIL 2.5MM,186,kg,56.15,7208,0.18
INV-7970,24 inch LED display 1080p IPS,51,nos,9373.06,8528,0.18
INV-7977,B/P PEN BLU,57,nos,5.28,9608,0.18
INV-7984,Housekeeping consumable set,196,nos,1997.88,3402,0.18
INV-7991,LLDPE wrap film,36,roll,1225.59,3920,0.18
INV-7998,Laptop corporate i5/16/512,86,nos,63941.95,8471,0.18
INV-8005,TNR-12A,136,nos,4166.88,8443,0.18
INV-8012,PAINT ENAMEL 20L,59,nos,4518.73,3208,0.18
INV-8019,Hand gloves cotton pair,12,pair,40.86,6116,0.18
INV-8026,24 port gigabit switch,102,nos,27161.44,8517,0.18
INV-8033,Pallet wrap 23 micron,141,roll,1227.49,3920,0.18
INV-8040,PPE-GLV-CTN,48,pair,40.79,6116,0.18
INV-8047,ADVISORY RETAINER,189,month,148417.72,9982,0.18
INV-8054,CABLE CU 4SQMM FRLS,119,m,74.76,8544,0.18
INV-8061,LIGHT-LED-36W,197,nos,1120.34,9405,0.18
INV-8068,LIGHT-LED-36W,63,nos,1072.48,9405,0.18
INV-8075,SITE MAINTENANCE MONTHLY,15,month,85231.61,9985,0.18
INV-8082,ANGLE-MS-50,87,kg,58.31,7216,0.18
INV-8089,HVAC preventive maint,18,visit,14227.55,9987,0.18
INV-8096,B/P PEN BLU,118,nos,5.31,9608,0.18
INV-8103,LIGHT-LED-36W,118,nos,1114.99,9405,0.18
INV-8110,ANGLE-MS-50,166,kg,58.34,7216,0.18
INV-8117,TONER 12A,58,nos,4171.95,8443,0.18
INV-8124,HK-KIT,136,nos,1933.29,3402,0.18
INV-8131,DG-PM-VISIT,167,visit,8833.0,9987,0.18
INV-8138,DG SET SERVICE VISIT,25,visit,8380.6,9987,0.18
INV-8145,FTL MDU-MAA,129,trip,20984.1,9965,0.18
INV-8152,CABLE CU 4SQMM FRLS,50,m,73.02,8544,0.18
INV-8159,Hot rolled coil 2.5,29,kg,55.74,7208,0.18
INV-8166,Courier docket upto 5 kg,80,nos,183.77,9968,0.18
INV-8173,LAPTOP i5 16GB 512 SSD,102,nos,62811.63,8471,0.18
INV-8180,LAPTOP i5 16GB 512 SSD,63,nos,64113.12,8471,0.18
INV-8187,Facility upkeep monthly,163,month,81708.92,9985,0.18
INV-8194,Courier docket upto 5 kg,65,nos,184.27,9968,0.18
INV-8201,HK-KIT,82,nos,1924.62,3402,0.18
INV-8208,GLOVES COTTON,77,pair,41.04,6116,0.18
INV-8215,Uninterruptible power supply 1kva,181,nos,6882.71,8504,0.18
INV-8222,HR COIL 2.5MM,187,kg,56.4,7208,0.18
INV-8229,Uninterruptible power supply 1kva,9,nos,6855.68,8504,0.18
INV-8236,PAINT ENAMEL 20L,50,nos,4394.52,3208,0.18
INV-8243,LIGHT-LED-36W,68,nos,1071.84,9405,0.18
INV-8250,AC PM VISIT,109,visit,14933.67,9987,0.18
INV-8257,PPE-GLV-CTN,120,pair,43.12,6116,0.18
INV-8264,A4 PAPER 75GSM RM,128,ream,192.92,4802,0.18
INV-8271,TONER 12A,199,nos,4133.73,8443,0.18
INV-8278,Hand gloves cotton pair,84,pair,41.79,6116,0.18
INV-8285,"Paper, A4, white, 75gsm",180,ream,197.01,4802,0.18
INV-8292,ADVISORY RETAINER,33,month,146121.41,9982,0.18
INV-8299,HR COIL 2.5MM,31,kg,54.86,7208,0.18
INV-8306,Housekeeping consumable set,122,nos,1924.79,3402,0.18
INV-8313,A4 PAPER 75GSM RM,155,ream,187.61,4802,0.18
INV-8320,DG-PM-VISIT,81,visit,8488.94,9987,0.18
INV-8327,TNR-12A,26,nos,4291.97,8443,0.18
INV-8334,TNR-12A,38,nos,4269.5,8443,0.18
INV-8341,24 inch LED display 1080p IPS,165,nos,8937.97,8528,0.18
INV-8348,LAPTOP i5 16GB 512 SSD,120,nos,62415.53,8471,0.18
INV-8355,Copier paper A-4 (75 gsm) 500sh,45,ream,194.4,4802,0.18
INV-8362,ANGLE-MS-50,50,kg,59.74,7216,0.18
INV-8369,Courier docket upto 5 kg,141,nos,190.4,9968,0.18
INV-8376,Cartridge toner 12A compatible,37,nos,4081.14,8443,0.18
INV-8383,SWITCH 24P GIG MANAGED,128,nos,28097.29,8517,0.18
INV-8390,Aircon servicing,143,visit,14147.31,9987,0.18
INV-8397,Copper wire 4 sq.mm FRLS,179,m,71.99,8544,0.18
INV-8404,PPE-GLV-CTN,76,pair,40.99,6116,0.18
INV-8411,Hot rolled coil 2.5,28,kg,55.47,7208,0.18
INV-8418,Blue ball pen,45,nos,5.53,9608,0.18
INV-8425,COURIER <5KG,10,nos,179.82,9968,0.18
INV-8432,Housekeeping consumable set,117,nos,1939.5,3402,0.18
INV-8439,PEN BALL BLUE 0.7,87,nos,5.32,9608,0.18
INV-8446,Generator servicing call,170,visit,8486.27,9987,0.18
INV-8453,Cartridge toner 12A compatible,130,nos,4135.73,8443,0.18
INV-8460,Truck full load Madurai Chennai,117,trip,21853.5,9965,0.18
INV-8467,PAINT ENAMEL 20L,167,nos,4472.28,3208,0.18
INV-8474,Mild steel angle 50mm,156,kg,57.87,7216,0.18
INV-8481,B/P PEN BLU,13,nos,5.29,9608,0.18
INV-8488,Copper wire 4 sq.mm FRLS,190,m,72.96,8544,0.18
INV-8495,PNT-ENML-20,138,nos,4453.83,3208,0.18
INV-8502,DG-PM-VISIT,118,visit,8808.66,9987,0.18
INV-8509,CABLE CU 4SQMM FRLS,60,m,74.87,8544,0.18
INV-8516,SITE MAINTENANCE MONTHLY,118,month,85072.3,9985,0.18
INV-8523,CABLE CU 4SQMM FRLS,160,m,71.69,8544,0.18
INV-8530,UPS 1KVA,157,nos,6879.67,8504,0.18
INV-8537,Mild steel angle 50mm,197,kg,56.75,7216,0.18
INV-8544,HK-KIT,10,nos,2008.01,3402,0.18
INV-8551,Industrial safety helmet,59,nos,305.01,6506,0.18
INV-8558,BOX 5-PLY LARGE,73,nos,39.96,4819,0.18
INV-8565,LAPTOP i5 16GB 512 SSD,33,nos,63265.41,8471,0.18
INV-8572,HVAC preventive maint,166,visit,14709.49,9987,0.18
